NUMERO_DE_,PENE,PFEB,PMAR,PABR,PMAY,PJUN,PJUL,PAGO,PSEP,POCT,PNOV,PDIC,PANNUAL
00002089,41.40,53.00,46.20,12.30,3.00,0.60,0.30,3.20,8.70,4.40,22.30,29.90,225.30
00002090,38.50,45.70,50.00,11.20,2.40,1.00,0.30,2.50,5.10,4.60,27.20,28.80,217.30
00002091,60.40,67.50,59.90,17.10,2.00,2.50,0.20,2.50,12.60,8.70,32.90,42.90,309.20
00002092,40.10,41.60,42.80,5.70,6.00,2.60,21.40,40.20,27.70,7.00,14.60,28.90,278.60
00002093,46.80,50.70,44.70,13.80,2.80,1.40,11.40,23.20,13.70,7.80,18.70,31.20,266.20
00002095,75.40,63.60,68.70,25.40,4.80,0.80,0.20,4.10,10.90,4.30,27.80,28.00,314.00
00002096,47.00,52.90,49.20,13.80,1.50,0.30,1.90,5.10,9.40,6.50,21.00,28.70,237.30
00002097,7.40,7.20,1.30,1.40,0.60,0.00,3.80,11.00,11.80,5.40,2.10,15.60,67.60
00002100,69.90,68.50,80.30,16.30,3.80,0.00,4.80,38.40,17.90,17.80,50.40,46.00,414.10
00002101,5.50,7.90,4.20,0.50,0.00,14.30,56.20,6.60,8.40,4.80,0.20,18.80,127.40
00002102,3.20,4.20,3.10,0.70,0.20,0.30,1.10,9.50,6.50,2.00,1.50,7.90,40.20
00002104,45.50,52.10,54.20,16.40,2.30,1.10,0.30,2.20,4.10,7.30,22.70,29.40,237.60
00002106,61.60,52.90,62.40,18.00,2.40,1.80,0.40,1.70,6.40,6.30,18.10,33.40,265.40
00002108,68.70,57.80,88.40,24.50,2.00,0.60,0.00,0.90,6.00,8.60,21.10,33.40,312.00
00002109,36.60,51.10,20.90,0.40,2.80,0.00,0.30,3.30,5.50,14.60,19.70,52.90,208.10
00002110,29.50,33.20,27.00,3.50,0.20,0.00,3.50,9.00,11.90,11.70,9.50,21.50,160.50
00002111,57.10,48.00,52.40,5.50,0.50,1.20,0.30,1.00,8.10,6.60,19.20,22.00,221.90
00002114,53.70,102.00,84.30,30.00,4.10,1.60,1.40,11.80,7.60,6.70,29.70,26.70,359.60
00002118,49.00,59.70,66.00,16.10,2.70,2.50,9.90,14.00,11.50,10.50,21.20,35.90,299.00
00002119,66.00,60.00,74.80,16.90,1.30,2.60,1.40,8.20,5.20,17.20,32.10,46.50,332.20
00002120,39.60,50.00,43.00,5.30,1.40,0.00,1.20,1.40,3.60,3.90,17.40,36.70,203.50
00002121,74.70,61.00,71.30,19.60,5.80,2.30,14.80,19.60,8.90,10.70,26.50,33.60,348.80
00002122,35.80,50.00,59.20,15.40,1.90,0.00,6.40,4.70,6.60,8.00,37.20,29.30,254.50
